species_id,sci_name,type_kind,type_voucher,voucher_matches_metadata,type_voucher_uri,uri_domain,inferred_institution_abbreviation,inference_note,review_action
1000760,Alouatta_macconnelli,holotype,BMNH:Mamm:1908.3.7.3,yes,https://data.nhm.ac.uk/object/3c475e0e-d449-4bdc-9f2b-f5877346a988 | https://data.nhm.ac.uk/object/b2754a22-032f-4542-9359-7a92e2d95140,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000762,Alouatta_palliata,syntypes,"BMNH:Mamm:1848.10.26.1, BMNH:Mamm:1848.10.26.2, BMNH:Mamm:1848.11.10.1",yes,https://data.nhm.ac.uk/object/0a8040a0-320e-49fb-9f04-a7f8712c288e | https://data.nhm.ac.uk/object/206f0899-4e87-4f63-b313-dfa78e1aab18 | https://data.nhm.ac.uk/object/4e7c78ef-01da-4134-8dfb-95ae1fca0013 | https://data.nhm.ac.uk/object/ab46a3a0-ba37-4a42-a156-4acbd87c6fa5 | https://data.nhm.ac.uk/object/e75602b9-7c0e-48b9-a4f8-bd0be18be547 | https://data.nhm.ac.uk/object/f1f2e7eb-08d9-4cc3-a0c3-f28034414d0e,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000764,Alouatta_sara,holotype,BMNH:Mamm:1907.8.2.1,yes,https://data.nhm.ac.uk/object/7fd8beba-3933-49ef-a0c8-37476e197eb2 | https://data.nhm.ac.uk/object/c9c59376-b85f-40df-a852-dc488ee49005,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000766,Alouatta_ululata,holotype,BMNH:Mamm:1911.10.16.10,yes,https://data.nhm.ac.uk/object/4aadc588-8f8b-4e22-9e94-a43d5a36d921,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000465,Amblysomus_corriae,holotype,BMNH:Mamm:1905.5.5.5,yes,https://data.nhm.ac.uk/object/04f9bc28-0979-4d62-bfa1-8c2528e44b6f,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000466,Amblysomus_hottentotus,holotype,BMNH:Mamm:1845.7.3.32,yes,https://data.nhm.ac.uk/object/f04350ed-67b4-4f71-b415-6e1d9ca84e42,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1004995,Ametrida_centurio,holotype,BMNH:Mamm:1957a,yes,https://data.nhm.ac.uk/object/2f7aa699-8cae-4dcc-b4a3-66eda75d040b,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1006137,Ammodorcas_clarkei,holotype,BMNH:Mamm:1891.5.7.1,yes,https://data.nhm.ac.uk/object/6f552443-5057-432f-81ce-099ed30326c0,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000537,Anathana_ellioti,holotype,BMNH:Mamm:1850.1.21.5,yes,https://data.nhm.ac.uk/object/0ce6c6fa-ae2b-45ad-97f1-a0e12c4435c6,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002476,Andinomys_edax,holotype,BMNH:Mamm:1902.2.2.15,yes,https://data.nhm.ac.uk/object/1b6e42d1-beff-4e62-9bc1-d231839954fb,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003128,Anisomys_imitator,holotype,BMNH:Mamm:1903.12.1.10,yes,https://data.nhm.ac.uk/object/e7bbdb36-db7b-4e78-a392-56e5d98d45c7,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001839,Anomalurus_beecrofti,holotype,BMNH:Mamm:1852.2.22.12,yes,https://data.nhm.ac.uk/object/1b712945-5b17-40d3-84ad-a2a417bc8c52,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001842,Anomalurus_pusillus,holotype,BMNH:Mamm:1887.12.1.28,yes,https://data.nhm.ac.uk/object/51d73654-d784-49ae-b552-2285a66f08c0,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002485,Anotomys_leander,holotype,BMNH:Mamm:1905.11.7.1,yes,https://data.nhm.ac.uk/object/cebc7def-1b88-4f5f-9b93-bc4a621f55ff,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1004894,Anoura_geoffroyi,holotype,BMNH:Mamm:11a,yes,https://data.nhm.ac.uk/object/c76d9544-f833-48e2-900a-c0bfe4df3a98,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000195,Antechinomys_laniger,holotype,"BMNH:Mamm:1847.12.4.5, BMNH:Mamm:1847.8.14.22",yes,https://data.nhm.ac.uk/object/01684252-4b0d-45a6-b1a5-f1e421f86b04 | https://data.nhm.ac.uk/object/7d1108fe-a281-4508-8d6c-9fe2c1c93fc1,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1006955,Antechinomys_spenceri,holotype,BMNH:Mamm:1897.11.3.12,yes,https://data.nhm.ac.uk/object/34a48dea-f09e-4fea-8588-759bea9fdd7b,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000167,Antechinus_adustus,holotype,BMNH:Mamm:1922.12.18.54,yes,https://data.nhm.ac.uk/object/8eb97ab2-a096-4f2e-ab24-c90da3979667,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000171,Antechinus_bellus,holotype,BMNH:Mamm:1904.1.3.102,yes,https://data.nhm.ac.uk/object/14ad729c-32d4-4694-8a18-22bdfd4e9dd7,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000172,Antechinus_flavipes,holotype,BMNH:Mamm:1855.12.24.75,yes,https://data.nhm.ac.uk/object/353d1570-80ed-4647-9336-f6b519e18cb0,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000173,Antechinus_godmani,holotype,BMNH:Mamm:1922.12.18.46,yes,https://data.nhm.ac.uk/object/b498e22e-4fac-41ce-993a-ec50f989dd77,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000175,Antechinus_mimetes,holotype,BMNH:Mamm:1924.10.1.1,yes,https://data.nhm.ac.uk/object/db713568-bc3b-482c-8d89-ad8102ca2853,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000180,Antechinus_swainsonii,holotype,"BMNH:Mamm:1860.1.5.18, BMNH:Mamm:1860.1.5.26",yes,https://data.nhm.ac.uk/object/b2f1fdfb-a0a7-437b-ab54-ab086a60c711 | https://data.nhm.ac.uk/object/c76ef9ac-8135-4077-9aaf-202064f7f1fb,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002174,Anteliomys_chinensis,holotype,BMNH:Mamm:1891.5.11.3,yes,https://data.nhm.ac.uk/object/e0d5c380-3b6f-4c66-bf17-64a1b83369c4,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002176,Anteliomys_custos,holotype,BMNH:Mamm:1912.3.18.19,yes,https://data.nhm.ac.uk/object/6030b7f1-60ec-41f5-afdd-71e93cb921a5,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002185,Anteliomys_olitor,holotype,BMNH:Mamm:1911.9.8.122,yes,https://data.nhm.ac.uk/object/d0555c51-5e73-4905-8ea4-176a4f89e112,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
