MDDv2.3_Name,MDDv2.4_Name,Comment,Category,Reference
NA,Mustela_mopbie,recently described,de novo,"Wei, Q. J., Cao, L., He, X. C., Abramov, A., Wang, J., Fu, J., ... & Ge, D. Y. (2025). Phylogenomics of the Genus Mustela with description of a new species from China. Journal of Systematics and Evolution, in press."
NA,Myotis_kalkaoe,recently described,de novo,"Tiunov, M.P., Liu, S., Feng, J., Soisook, P. and Jiang, T.-l. 2025. A new species of _Myotis_ from China with notes on the _siligorensis_ species group (Chiroptera, Vespertilionidae). ZooKeys 1258:333-356. doi:10.3897/zookeys.1258.145290"
NA,Nannospalax_colaki,recently described based on populations previously attributed to N. ehrenbergi,de novo,"Kankılıç, T., Tatyüz, İ., Yürümez, G., Kankılıç, T., Köse, B., Coşkun, Y., & Civelek, İ. 2026. Taxonomic revision of the _Nannospalax ehrenbergi_ species complex (Rodentia: Spalacidae) in Anatolian Peninsula, with description of three new species. Zoologischer Anzeiger 321:16-37."
NA,Nannospalax_garzanensis,recently described based on populations previously attributed to N. ehrenbergi,de novo,"Kankılıç, T., Tatyüz, İ., Yürümez, G., Kankılıç, T., Köse, B., Coşkun, Y., & Civelek, İ. 2026. Taxonomic revision of the _Nannospalax ehrenbergi_ species complex (Rodentia: Spalacidae) in Anatolian Peninsula, with description of three new species. Zoologischer Anzeiger 321:16-37."
NA,Nannospalax_karyominor,recently described based on populations previously attributed to N. ehrenbergi,de novo,"Kankılıç, T., Tatyüz, İ., Yürümez, G., Kankılıç, T., Köse, B., Coşkun, Y., & Civelek, İ. 2026. Taxonomic revision of the _Nannospalax ehrenbergi_ species complex (Rodentia: Spalacidae) in Anatolian Peninsula, with description of three new species. Zoologischer Anzeiger 321:16-37."
NA,Oreoryzomys_huancabambensis,recently described,de novo,"Llancachahua-Tarqui, D., Ruelas, D., Escobar, E. and Pacheco, V.R. 2025. Introduction to the systematics of _Oreoryzomys balneator_ (Rodentia; Cricetidae) with the description of a new species from Peruvian montane forests. Revista Peruana de Biología 32(4):e31354. doi:10.15381/rpb.v32i4.31354"
NA,Petaurista_nujiangensis,recently described,de novo,"Li, Q., Jackson, S. M., Li, X., Song, W., Chen, Z., Zhu, Z., ... & Jiang, X. (2025). Discovery of a new species of giant flying squirrel (Petaurista) from northwest Yunnan, China, sheds light on the origin and diversification of the genus. Zoological Journal of the Linnean Society, 205(1), zlaf106."
NA,Soriculus_dexingensis,recently described,de novo,"Zhang, T., Yang, S.-y., Jiang, H.-j., Gu, L., Zou, Q., Fu, C.-k., Guo, K.-j., Zhang, T., Liu, S.-y. and Chen, S.-d. 2025. A new species of the genus _Soriculus_ (Soricidae, Eulipotyphla, Mammalia) from Medog, Tibet, China, based on morphological and molecular data. ZooKeys 1262:175-189. doi:10.3897/zookeys.1262.164459"
NA,Thrichomys_dandreai,recently described,de novo,"Lazar, A., Weksler, M., & Bonvicino, C. R. (2025). The hidden diversity in Thrichomys Trouessart, 1880 (Rodentia: Echimyidae): identity of T. pachyurus (Wagner 1845), and the description of a new species from Central Brazil. Mammalian Biology, 1-18."
Mazama_rufina,Andinocervus_rufinus,moved from Mazama to Andinocervus,genus change,"Ramírez-Chaves, H.E., Morales-Martínez, D.M., Cardona-Giraldo, A., Castellanos, O., Ospina, O., Ossa-López, P.A., Rivera-Páez, F.A. and Noguera-Urbano, E.A. 2025-10-17. Systematics of the dwarf red brocket, _Mazama rufina_ (Pucheran, 1851) (Mammalia: Artiodactyla: Cervidae), with the description of a new genus. Zootaxa 5711(2):223-240."
