species_id,sci_name,main_common_name,order,family,genus,specific_epithet,type_kind,type_voucher,extracted_voucher_prefix,candidate_prefix_to_research,type_locality,type_voucher_uris,extinct,domestic
1000848,Sapajus_robustus,Crested Capuchin,Primates,Cebidae,Sapajus,robustus,syntypes,untraced (number not known),UNTRACED,UNTRACED,"Morro da Arara, north of the Rio Mucuri, Minas Gerais, Brazil.",,False,False
1000851,Saimiri_cassiquiarensis,Humboldt's Squirrel Monkey,Primates,Cebidae,Saimiri,cassiquiarensis,holotype,lost (number not known),LOST,LOST,"Río (Caño) Cassiquiare, Amazonas, Venezuela.",,False,False
1000862,Callicebus_personatus,Masked Titi,Primates,Pitheciidae,Callicebus,personatus,holotype,lost (number not known),LOST,LOST,holotype was lost in the early 19th century and the type locality is unknown. Restricted by P. Hershkovitz in 1990 to the lower Rio Doce Basin in the Brazilian state of Espírito Santo.,,False,False
1000864,Cheracebus_lugens,White-chested Titi,Primates,Pitheciidae,Cheracebus,lugens,holotype,lost (number not known),LOST,LOST,"vicinity of San Fernando de Atabapo, at the confluence of the ríos Orinoco and Guaviare, Amazonas, Venezuela.",,False,False
1000898,Chiropotes_chiropotes,Rio Negro Bearded Saki,Primates,Pitheciidae,Chiropotes,chiropotes,holotype,lost (number not known),LOST,LOST,"Upper Rio Orinoco south of the cataracts, Amazonas, Venezuela.",,False,False
1000915,Carlito_syrichta,Philippine Tarsier,Primates,Tarsiidae,Carlito,syrichta,syntypes,lost (number not known),LOST,LOST,"""Luzon.""",,False,False
1000918,Tarsius_fuscus,Makassar Tarsier,Primates,Tarsiidae,Tarsius,fuscus,holotype,lost (number not known),LOST,LOST,"Originally said to come from Madagascar. Restricted by C. P. Groves and M. Shekelle in 2010 to Makassar, South Sulawesi, Indonesia.",,False,False
1000944,Microcebus_danfossi,Ambarijeby Mouse Lemur,Primates,Cheirogaleidae,Microcebus,danfossi,holotype,038y04koa,038Y04KOA,038Y04KOA,"province de Mahajanga, a forest fragment (c.14° 56' S, 47° 42' E) belonging to the village of Ambarijeby (between Analalava and Antsohihy).",,False,False
1000946,Microcebus_gerpi,Gerp's Mouse Lemur,Primates,Cheirogaleidae,Microcebus,gerpi,holotype,002y09fina,002Y09FINA,002Y09FINA,"Madagascar, Province of Toamasina, Forest of Sahafina (18° 47' 28.7"" S, 48° 58' 56.2"" E), in a savoka at about 95 m above sea level, in the rural community of Anivorano-East.",,False,False
1000951,Microcebus_macarthurii,Anjiahely Mouse Lemur,Primates,Cheirogaleidae,Microcebus,macarthurii,holotype,001y07hely,001Y07HELY,001Y07HELY,"Madagascar, province of Antsiranana, Anjiahely (c.15° 24' S, 49° 29' E).",,False,False
1000954,Microcebus_margotmarshae,Margot Marsh's Mouse Lemur,Primates,Cheirogaleidae,Microcebus,margotmarshae,holotype,TAFO6.1,TAFO6.1,TAFO6,"Madagascar, province of Antsiranana, Antafondro Classified Forest (approximately 14° 02' 44.5"" S, 48° 13' 23.4"" E, 134 m above sea level).",,False,False
1000973,Avahi_cleesei,Bemaraha Woolly Lemur,Primates,Indriidae,Avahi,cleesei,holotype,"""_Avahi_ male (body weight = 830 g) captured in Bemaraha on 3 October 1991."" The specimen was released.","""_AVAHI_","""_AVAHI_","18° 59' S, 44° 45' E, approximately 3 km east-north-east of the village of Ambalarano, western Madagascar.",,False,False
1000974,Avahi_laniger,Eastern Woolly Lemur,Primates,Indriidae,Avahi,laniger,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Madagascar, Betanimena country, Antongil Bay.",,False,False
1000981,Indri_indri,Indri,Primates,Indriidae,Indri,indri,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Madagascar.,,False,False
1000987,Propithecus_edwardsi,Milne-Edwards's Sifaka,Primates,Indriidae,Propithecus,edwardsi,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Madagascar, west of Mananjary.",,False,False
1000991,Eulemur_albifrons,White-fronted Brown Lemur,Primates,Lemuridae,Eulemur,albifrons,syntypes,untraced (number not known),UNTRACED,UNTRACED,Madagascar.,,False,False
1000996,Eulemur_fulvus,Brown Lemur,Primates,Lemuridae,Eulemur,fulvus,syntypes,untraced (number not known),UNTRACED,UNTRACED,Madagascar.,,False,False
1000997,Eulemur_macaco,Black Lemur,Primates,Lemuridae,Eulemur,macaco,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Madagascar.,,False,False
1001011,Varecia_variegata,Black-and-white Ruffed Lemur,Primates,Lemuridae,Varecia,variegata,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Madagascar.,,False,False
1001058,Sciurocheirus_makandensis,Makande Squirrel Galago,Primates,Galagidae,Sciurocheirus,makandensis,holotype,lost (number not known),LOST,LOST,"Makandé, Forêt des Abeilles, SE Gabon, S of Ogooué R (00° 40' 39"" S, 11° 54' 35"" E).",,False,False
1001064,Nycticebus_coucang,Malaysian Slow Loris,Primates,Lorisidae,Nycticebus,coucang,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Malaysia, Malacca.",,False,False
1001068,Nycticebus_menagensis,Philippine Slow Loris,Primates,Lorisidae,Nycticebus,menagensis,holotype,lost (number not known),LOST,LOST,"Philippines, Tawitawi.",,False,False
1001080,Lepus_americanus,Snowshoe Hare,Lagomorpha,Leporidae,Lepus,americanus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""in America boreeli, ad fretum Hudsonis copiosissimus."" Restricted by E. W. Nelson in 1909 to ""Fort Severn,"" Ontario, Canada.",,False,False
1001090,Lepus_europaeus,European Hare,Lagomorpha,Leporidae,Lepus,europaeus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"type locality not given. Restricted by É.-L. Trouessart in 1910 to ""Poland.""",,False,False
1006762,Lepus_saharae,West Sahara Hare,Lagomorpha,Leporidae,Lepus,saharae,holotype,"Laâyoune REF 021/2019 Awserd, Laâyoune REF 022/2019 Awserd",LAÂYOUNE,LAÂYOUNE,"""northwest of Aoussard Province, western Sahara, Morocco.""",,False,False
1001107,Lepus_tolai,Tolai Hare,Lagomorpha,Leporidae,Lepus,tolai,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Caeterum in montibus aprecis campisque rupestribus vel arenosis circa Selengam…"" Restricted by S. I. Ognev in 1940 to ""valley of the Selenga River,"" Russia. Redefined by J. R. Ellerman and T. C. S. Morrison-Scott in 1951 to ""Adinscholo Mountain, near Tchinden [Chinden = Chindant], on Borsja [= Boriya] River, a tributary of the Onon River, Eastern Siberia.""",,False,False
