sci_name,type_voucher
Macaca_fascicularis,lost (number not known)
Macaca_mulatta,lost (number not known)
Macaca_nemestrina,lost (number not known)
Macaca_siberu,lost (number not known)
Macaca_sylvanus,lost (number not known)
Macroglossus_minimus,lost (number not known)
Megaptera_novaeangliae,lost (number not known)
Menetes_berdmorei,lost (number not known)
Mesoplodon_europaeus,lost (number not known)
Mesoplodon_grayi,lost (number not known)
Monachus_monachus,lost (number not known)
Monodon_monoceros,lost (number not known)
Murina_tubinaris,lost (number not known)
Myotis_californicus,lost (number not known)
Myotis_leibii,lost (number not known)
Mystacina_tuberculata,lost (number not known)
Naemorhedus_goral,lost (number not known)
Nanger_granti,lost (number not known)
Nasua_nasua,lost (number not known)
Neophoca_cinerea,lost (number not known)
Nycteris_parisii,lost (number not known)
Nycticebus_menagensis,lost (number not known)
Odobenus_rosmarus,lost (number not known)
Odocoileus_hemionus,lost (number not known)
Onychomys_leucogaster,lost (number not known)
Orcinus_orca,lost (number not known)
Orycteropus_afer,lost (number not known)
Oryzomys_palustris,lost (number not known)
Pagophilus_groenlandicus,lost (number not known)
Parascalops_breweri,lost (number not known)
Perimyotis_subflavus,lost (number not known)
Peromyscus_californicus,lost (number not known)
Petaurillus_kinlochii,lost (number not known)
Petinomys_fuscocapillus,lost (number not known)
Phascogale_tapoatafa,lost (number not known)
Phoca_largha,lost (number not known)
Phoca_vitulina,lost (number not known)
Phocoena_phocoena,lost (number not known)
Physeter_macrocephalus,lost (number not known)
Platanista_minor,lost (number not known)
Plecotus_auritus,lost (number not known)
Pongo_pygmaeus,lost (number not known)
Procavia_capensis,lost (number not known)
Proechimys_longicaudatus,lost (number not known)
Pseudomys_higginsi,lost (number not known)
Pseudorca_crassidens,lost (number not known)
Pudu_puda,lost (number not known)
Pusa_caspica,lost (number not known)
Pusa_hispida,lost (number not known)
Pusa_sibirica,lost (number not known)
Rattus_norvegicus,lost (number not known)
Rattus_rattus,lost (number not known)
Ratufa_indica,lost (number not known)
Saguinus_fuscus,lost (number not known)
Saguinus_midas,lost (number not known)
Saguinus_oedipus,lost (number not known)
Saimiri_cassiquiarensis,lost (number not known)
Sciurocheirus_makandensis,lost (number not known)
Sciurus_granatensis,lost (number not known)
Sciurus_griseus,lost (number not known)
Scotophilus_nigrita,lost (number not known)
Semnopithecus_entellus,lost (number not known)
Semnopithecus_johnii,lost (number not known)
Sigmodon_hispidus,lost (number not known)
Sousa_chinensis,lost (number not known)
Spermophilus_citellus,lost (number not known)
Spilocuscus_maculatus,lost (number not known)
Spilogale_interrupta,lost (number not known)
Spilogale_putorius,lost (number not known)
Tapirus_indicus,lost (number not known)
Tapirus_terrestris,lost (number not known)
Tarsius_fuscus,lost (number not known)
Taxidea_taxus,lost (number not known)
Thylogale_brunii,lost (number not known)
Thyroptera_tricolor,lost (number not known)
Trachops_cirrhosus,lost (number not known)
Trachypithecus_mauritius,lost (number not known)
Tragelaphus_angasii,lost (number not known)
Zalophus_californianus,lost (number not known)
Zapus_hudsonius,lost (number not known)
Cercocebus_sanjei,male figured and described by Homewood & Rodgers
Macaca_leucogenys,photographed specimen
Macaca_munzala,photographed specimen
Alouatta_seniculus,specimen collected by Jacquin in Cartagena
Philander_quica,specimen collected by Natterer
Pteronura_brasiliensis,specimen described by Barrère
Diceros_bicornis,specimen described by Kolbius
Puma_concolor,specimen described by Marcgraf
Macaca_silenus,specimen figured by Buffon
Acinonyx_jubatus,untraced (number not known)
Akodon_boliviensis,untraced (number not known)
Alcelaphus_buselaphus,untraced (number not known)
Alouatta_belzebul,untraced (number not known)
Ammotragus_lervia,untraced (number not known)
Anoura_peruana,untraced (number not known)
Antidorcas_marsupialis,untraced (number not known)
Arctonyx_albogularis,untraced (number not known)
Ateles_chamek,untraced (number not known)
Ateles_paniscus,untraced (number not known)
Atherurus_macrourus,untraced (number not known)
Avahi_laniger,untraced (number not known)
Axis_axis,untraced (number not known)
Axis_porcinus,untraced (number not known)
Balaenoptera_acutorostrata,untraced (number not known)
Barbastella_barbastellus,untraced (number not known)
Bos_grunniens,untraced (number not known)
Boselaphus_tragocamelus,untraced (number not known)
Bubalus_arnee,untraced (number not known)
Bubalus_bubalis,untraced (number not known)
Camelus_bactrianus,untraced (number not known)
Capra_aegagrus,untraced (number not known)
Capra_caucasica,untraced (number not known)
Capra_sibirica,untraced (number not known)
Capreolus_pygargus,untraced (number not known)
Capricornis_sumatraensis,untraced (number not known)
Caracal_caracal,untraced (number not known)
Cebus_capucinus,untraced (number not known)
Cercocebus_torquatus,untraced (number not known)
Cercopithecus_ascanius,untraced (number not known)
Cercopithecus_diana,untraced (number not known)
Cercopithecus_mona,untraced (number not known)
Cercopithecus_nictitans,untraced (number not known)
Cercopithecus_petaurista,untraced (number not known)
Cercopithecus_roloway,untraced (number not known)
Cerdocyon_thous,untraced (number not known)
Cervus_canadensis,untraced (number not known)
Chironectes_minimus,untraced (number not known)
Chlorocebus_cynosuros,untraced (number not known)
Chlorocebus_sabaeus,untraced (number not known)
Choloepus_didactylus,untraced (number not known)
Cnephaeus_hottentotus,untraced (number not known)
Cnephaeus_kobayashii,untraced (number not known)
Cnephaeus_serotinus,untraced (number not known)
Coendou_longicaudatus,untraced (number not known)
Conepatus_chinga,untraced (number not known)
Conepatus_semistriatus,untraced (number not known)
Connochaetes_gnou,untraced (number not known)
Corynorhinus_rafinesquii,untraced (number not known)
Corynorhinus_townsendii,untraced (number not known)
Crocidura_tadae,untraced (number not known)
Crocuta_crocuta,untraced (number not known)
Ctenomys_maulinus,untraced (number not known)
Damaliscus_pygargus,untraced (number not known)
Dasyurus_maculatus,untraced (number not known)
Dasyurus_viverrinus,untraced (number not known)
Dicrostonyx_hudsonius,untraced (number not known)
Didelphis_virginiana,untraced (number not known)
Dugong_dugon,untraced (number not known)
Dusicyon_australis,untraced (number not known)
Eligmodontia_typus,untraced (number not known)
Eptesicus_fuscus,untraced (number not known)
Equus_ferus,untraced (number not known)
Equus_hemionus,untraced (number not known)
Equus_quagga,untraced (number not known)
Equus_zebra,untraced (number not known)
