sci_name,sci_name_space,main_common_name,order,family,genus,type_voucher,type_kind,type_locality,type_lat,type_lon,museum_full_name,museum_city,museum_country,institution_code,confidence,source_url
Cerradomys_maracajuensis,Cerradomys maracajuensis,Maracaju Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 44178,holotype,"Fazenda da Mata, Maracaju Municipality, Mato Grosso do Sul, Brazil.",-21.6333,-55.15,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cerradomys_marinhus,Cerradomys marinhus,Marinho's Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 63830,holotype,"Fazenda Sertão Formoso (= Fazenda Jucurutu), altitude around 775 m, Jaborandi municipality, Goiás, Brazil.",-14.8,-45.95,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cerradomys_scotti,Cerradomys scotti,Lindbergh's Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 44176,holotype,"Morro dos Cabeludos (= Morro de Cabeludo), Goiás, Brazil.",-15.9,-48.8,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cerradomys_vivoi,Cerradomys vivoi,Vivo's Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 35898,holotype,"Parque Zoobotânico da Comissão Executiva do Plano da Lavoura Cacaueira, 6 km E of Itabuna by road, Bahia, Brazil.",-14.8,-39.26667,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Coendou_prehensilis,Coendou prehensilis,Yellow Quill-tipped Porcupine,Rodentia,Erethizontidae,Coendou,MN 73383,neotype,"""Habitat in Asia, America."" Restricted by Y. L. R. Leite and colleagues in 2011 to ""Mata Xanguá, Usina Trapiche, municipality of Sirihaém, state of Pernambuco, Brazil, 8°38'50"" S, 35°10'15"" W, elevation 100 m"" by neotype selection.",-8.64722,-35.1708,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Coendou_speratus,Coendou speratus,Pernambuco Dwarf Porcupine,Rodentia,Erethizontidae,Coendou,MN 72045,holotype,"""Mata Tauá, Usina Trapiche, municipality of Sirinhaém, state of Pernambuco, Brazil, 8° 33' 46.13"" S, 35° 10' 9.09"" W, elevation 85 m.""",-8.52948,-35.1692,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cryptonanus_agricolai,Cryptonanus agricolai,Agricola's Opossum,Didelphimorphia,Didelphidae,Cryptonanus,MN 1495,holotype,"""Crato, Ceará,"" Brazil.",-7.23,-39.38,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Ctenomys_bicolor,Ctenomys bicolor,Bicolored Tuco-tuco,Rodentia,Ctenomyidae,Ctenomys,MN 2025,holotype,"""Mato Grosso."" Restricted by C. J. Bidau and F. D. de Avila-Pires in 2009 to Rondônia State, Brazil, 12°01'S, 60°57'W, at 335 m elevation.",-12.0167,-60.95,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Ctenomys_rondoni,Ctenomys rondoni,Rondon's Tuco-tuco,Rodentia,Ctenomyidae,Ctenomys,MN 2051,lectotype,"type locality not given. Identified by J. Moojen in 1955 as ""Maria de Molina"" (= Campos dos Palmares de Maria Molina), Vilhena, Rondônia State, Brazil, 12° 07'S, 60° 28'W.",-12.1167,-60.4667,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Delomys_altimontanus,Delomys altimontanus,Montane Atlantic Forest Rat,Rodentia,Cricetidae,Delomys,MN 69746,holotype,"Campos do Itatiaia, 2450 m, Itatiaia National Park, Rio de Janeiro, Brazil.",-22.3833,-44.66667,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
