sci_name,type_voucher
Bubalus_mindorensis,SNHM 1590/1251/24231
Tragelaphus_angasii,lost (number not known)
Tragelaphus_oryx,untraced (number not known)
Tragelaphus_scriptus,untraced (number not known)
Tragelaphus_strepsiceros,untraced (number not known)
Tragelaphus_sylvaticus,untraced (number not known)
Capreolus_pygargus,untraced (number not known)
Hippocamelus_bisulcus,untraced (number not known)
Mazama_tschudii,MHNSAAC 008-My
Odocoileus_hemionus,lost (number not known)
Odocoileus_virginianus,untraced (number not known)
Passalites_nemorivagus,untraced (number not known)
Pudu_puda,lost (number not known)
Rangifer_tarandus,untraced (number not known)
Axis_axis,untraced (number not known)
Axis_porcinus,untraced (number not known)
Cervus_canadensis,untraced (number not known)
Rusa_unicolor,untraced (number not known)
Muntiacus_muntjak,untraced (number not known)
Muntiacus_vaginalis,untraced (number not known)
Giraffa_giraffa,untraced (number not known)
Moschiola_meminna,untraced (number not known)
Tragulus_javanicus,untraced (number not known)
Phacochoerus_aethiopicus,untraced (number not known)
Phacochoerus_africanus,untraced (number not known)
Sus_domesticus,untraced (number not known)
Tayassu_pecari,untraced (number not known)
Camelus_bactrianus,untraced (number not known)
Lama_guanicoe,untraced (number not known)
Lama_vicugna,untraced (number not known)
