sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Rhinolophus_maclaudi,MNHN-ZM-MO-1897-981 (= MNHN:type:177),MNHN-ZM-MO-1897-981,MNHN,prefix_missing_from_metadata
Rhinolophus_macrotis,"BMNH:Mamm:1845.1.8.416, ZSI 15568","BMNH:MAMM:1845.1.8.416,",BMNH,prefix_missing_from_metadata
Rhinolophus_madurensis,BMNH:Mamm:1910.4.7.9,BMNH:MAMM:1910.4.7.9,BMNH,prefix_missing_from_metadata
Rhinolophus_maendeleo,SMF:MAMM:79643,SMF:MAMM:79643,SMF,prefix_missing_from_metadata
Rhinolophus_malayanus,BMNH:Mamm:1903.2.6.83,BMNH:MAMM:1903.2.6.83,BMNH,prefix_missing_from_metadata
Rhinolophus_megaphyllus,BMNH:Mamm:1941.1509,BMNH:MAMM:1941.1509,BMNH,prefix_missing_from_metadata
Rhinolophus_microglobosus,BMNH:Mamm:1997.360,BMNH:MAMM:1997.360,BMNH,prefix_missing_from_metadata
Rhinolophus_midas,BMNH:Mamm:1894.11.16.1,BMNH:MAMM:1894.11.16.1,BMNH,prefix_missing_from_metadata
Rhinolophus_monoceros,BMNH:Mamm:1894.2.4.1,BMNH:MAMM:1894.2.4.1,BMNH,prefix_missing_from_metadata
Rhinolophus_morio,BMNH:Mamm:1840.5.14.36,BMNH:MAMM:1840.5.14.36,BMNH,prefix_missing_from_metadata
Rhinolophus_nereis,USNM:MAMM:101714,USNM:MAMM:101714,USNM,prefix_missing_from_metadata
Rhinolophus_nippon,"BMNH:Mamm:1843.12.27.9, RMNH.MAM.35166, RMNH.MAM.35167, RMNH.MAM.35168, RMNH.MAM.35169, RMNH.MAM.35170","BMNH:MAMM:1843.12.27.9,",BMNH,prefix_missing_from_metadata
Rhinolophus_osgoodi,FMNH:Mamm:33296,FMNH:MAMM:33296,FMNH,prefix_missing_from_metadata
Rhinolophus_pearsonii,BMNH:Mamm:1879.11.21.56,BMNH:MAMM:1879.11.21.56,BMNH,prefix_missing_from_metadata
Rhinolophus_perditus,BMNH:Mamm:1905.11.3.15,BMNH:MAMM:1905.11.3.15,BMNH,prefix_missing_from_metadata
Rhinolophus_philippinensis,BMNH:Mamm:1855.12.26.270,BMNH:MAMM:1855.12.26.270,BMNH,prefix_missing_from_metadata
Rhinolophus_proconsulis,BMNH:Mamm:1959.12,BMNH:MAMM:1959.12,BMNH,prefix_missing_from_metadata
Rhinolophus_pumilus,BMNH:Mamm:1902.10.7.18,BMNH:MAMM:1902.10.7.18,BMNH,prefix_missing_from_metadata
Rhinolophus_pusillus,RMNH.MAM.35177,RMNH.MAM.35177,RMNH,prefix_missing_from_metadata
Rhinolophus_refulgens,BMNH:Mamm:1898.11.29.2,BMNH:MAMM:1898.11.29.2,BMNH,prefix_missing_from_metadata
Rhinolophus_robinsoni,BMNH:Mamm:1918.8.2.1,BMNH:MAMM:1918.8.2.1,BMNH,prefix_missing_from_metadata
Rhinolophus_rouxii,RMNH.MAM.35221,RMNH.MAM.35221,RMNH,prefix_missing_from_metadata
Rhinolophus_sedulus,BMNH:Mamm:1907.1.1.292,BMNH:MAMM:1907.1.1.292,BMNH,prefix_missing_from_metadata
Rhinolophus_septentrionalis,FMNH:Mamm:33291,FMNH:MAMM:33291,FMNH,prefix_missing_from_metadata
Rhinolophus_shameli,USNM:MAMM:267255,USNM:MAMM:267255,USNM,prefix_missing_from_metadata
Rhinolophus_shortridgei,BMNH:Mamm:1918.8.3.1,BMNH:MAMM:1918.8.3.1,BMNH,prefix_missing_from_metadata
Rhinolophus_simulator,BMNH:Mamm:1902.2.7.10,BMNH:MAMM:1902.2.7.10,BMNH,prefix_missing_from_metadata
Rhinolophus_sinicus,BMNH:Mamm:1899.3.1.6,BMNH:MAMM:1899.3.1.6,BMNH,prefix_missing_from_metadata
Rhinolophus_stheno,BMNH:Mamm:1898.3.13.1,BMNH:MAMM:1898.3.13.1,BMNH,prefix_missing_from_metadata
Rhinolophus_subrufus,BMNH:Mamm:1858.3.29.4,BMNH:MAMM:1858.3.29.4,BMNH,prefix_missing_from_metadata
Rhinolophus_tatar,"ZMA.MAM.21838.a, ZMA.MAM.21838.b","ZMA.MAM.21838.A,",ZMA,prefix_missing_from_metadata
